# x	 y	 dy	 fy
1.000000000000000000e+00 1.300000000000000044e+00 6.500000000000000222e-02 1.299992482019957762e+00
2.000000000000000000e+00 1.600000000000000089e+00 8.000000000000000167e-02 1.599991570512669936e+00
3.000000000000000000e+00 1.899999999999999911e+00 9.500000000000000111e-02 1.899990659005382110e+00
4.000000000000000000e+00 2.200000000000000178e+00 1.100000000000000006e-01 2.199989747498094506e+00
5.000000000000000000e+00 2.500000000000000000e+00 1.250000000000000000e-01 2.499988835990806901e+00
6.000000000000000000e+00 2.799999999999999822e+00 1.400000000000000133e-01 2.799987924483518853e+00
7.000000000000000000e+00 3.100000000000000089e+00 1.549999999999999989e-01 3.099987012976231249e+00
8.000000000000000000e+00 3.399999999999999911e+00 1.700000000000000122e-01 3.399986101468943644e+00
9.000000000000000000e+00 3.700000000000000178e+00 1.849999999999999978e-01 3.699985189961656040e+00
1.000000000000000000e+01 4.000000000000000000e+00 2.000000000000000111e-01 3.999984278454368436e+00
1.100000000000000000e+01 4.299999999999999822e+00 2.149999999999999967e-01 4.299983366947079944e+00
1.200000000000000000e+01 4.599999999999999645e+00 2.300000000000000100e-01 4.599982455439793227e+00
1.300000000000000000e+01 4.900000000000000355e+00 2.449999999999999956e-01 4.899981543932504735e+00
1.400000000000000000e+01 5.200000000000000178e+00 2.600000000000000089e-01 5.199980632425217131e+00
1.500000000000000000e+01 5.500000000000000000e+00 2.750000000000000222e-01 5.499979720917929527e+00
1.600000000000000000e+01 5.799999999999999822e+00 2.899999999999999800e-01 5.799978809410641922e+00
1.700000000000000000e+01 6.099999999999999645e+00 3.049999999999999933e-01 6.099977897903354318e+00
1.800000000000000000e+01 6.400000000000000355e+00 3.200000000000000067e-01 6.399976986396066714e+00
1.900000000000000000e+01 6.700000000000000178e+00 3.350000000000000200e-01 6.699976074888779110e+00
2.000000000000000000e+01 7.000000000000000000e+00 3.499999999999999778e-01 6.999975163381491505e+00
2.100000000000000000e+01 7.299999999999999822e+00 3.649999999999999911e-01 7.299974251874203013e+00
2.200000000000000000e+01 7.599999999999999645e+00 3.800000000000000044e-01 7.599973340366915409e+00
2.300000000000000000e+01 7.900000000000000355e+00 3.950000000000000178e-01 7.899972428859627804e+00
2.400000000000000000e+01 8.199999999999999289e+00 4.099999999999999756e-01 8.199971517352340200e+00
2.500000000000000000e+01 8.500000000000000000e+00 4.249999999999999889e-01 8.499970605845053484e+00
2.600000000000000000e+01 8.800000000000000711e+00 4.400000000000000022e-01 8.799969694337764992e+00
2.700000000000000000e+01 9.099999999999999645e+00 4.550000000000000155e-01 9.099968782830476499e+00
2.800000000000000000e+01 9.400000000000000355e+00 4.699999999999999734e-01 9.399967871323188007e+00
2.900000000000000000e+01 9.699999999999999289e+00 4.849999999999999867e-01 9.699966959815903067e+00
3.000000000000000000e+01 1.000000000000000000e+01 5.000000000000000000e-01 9.999966048308614575e+00
